id-sum;anio;mes;dia;fecha;franja;tipo;subtipo;uso_arma;uso_moto;barrio;comuna;latitud;longitud;cantidad
88578;2023;SEPTIEMBRE;MARTES;26/9/2023;21;Robo;Robo total;NO;NO;LINIERS;CC-09;-34,647657;-58,506056;1
88579;2023;SEPTIEMBRE;DOMINGO;17/9/2023;20;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,648184;-58,506158;1
88580;2023;MAYO;SABADO;27/5/2023;7;Robo;Robo total;NO;NO;MATADEROS;CC-09;-34,664249;-58,501987;1
88581;2023;MARZO;JUEVES;9/3/2023;18;Hurto;Hurto automotor;NO;NO;MATADEROS;CC-09;-34,664304;-58,502054;1
88582;2023;FEBRERO;LUNES;6/2/2023;20;Robo;Robo total;SI;NO;MATADEROS;CC-09;-34,66414;-58,501854;1
88583;2023;AGOSTO;SABADO;5/8/2023;1;Hurto;Hurto automotor;NO;NO;MATADEROS;CC-09;-34,66414;-58,501854;1
88584;2023;SEPTIEMBRE;LUNES;25/9/2023;19;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,66419;-58,502388;1
88585;2023;MARZO;VIERNES;10/3/2023;14;Robo;Robo total;NO;NO;MATADEROS;CC-09;-34,665289;-58,501572;1
88586;2023;ENERO;MIERCOLES;11/1/2023;0;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,663692;-58,508253;1
88587;2023;ABRIL;SABADO;22/4/2023;16;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,663606;-58,50049;1
88588;2023;ABRIL;VIERNES;28/4/2023;8;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,663628;-58,505099;1
88589;2023;JUNIO;DOMINGO;4/6/2023;8;Robo;Robo total;NO;NO;MATADEROS;CC-09;-34,663507;-58,504193;1
88590;2023;MAYO;MIERCOLES;31/5/2023;12;Hurto;Hurto automotor;NO;NO;MATADEROS;CC-09;-34,663345;-58,48895;1
88591;2023;AGOSTO;MARTES;15/8/2023;11;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,663345;-58,48895;1
88592;2023;OCTUBRE;MIERCOLES;4/10/2023;4;Robo;Robo total;NO;NO;MATADEROS;CC-09;-34,66357115;-58,50846589;1
88593;2023;OCTUBRE;MIERCOLES;4/10/2023;5;Robo;Robo total;NO;NO;MATADEROS;CC-09;-34,66357115;-58,50846589;1
88594;2023;DICIEMBRE;VIERNES;8/12/2023;0;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,663345;-58,48895;1
88595;2023;SEPTIEMBRE;SABADO;23/9/2023;9;Hurto;Hurto total;NO;NO;VILLA CRESPO;CC-15;-34,598745;-58,439494;1
88596;2023;MARZO;JUEVES;23/3/2023;9;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,66229313;-58,51101071;1
88597;2023;ABRIL;MIERCOLES;26/4/2023;19;Robo;Robo total;NO;NO;MATADEROS;CC-09;-34,66186;-58,5105;1
88598;2023;JUNIO;MIERCOLES;14/6/2023;20;Robo;Robo automotor;SI;NO;MATADEROS;CC-09;-34,663954;-58,510511;1
88599;2023;JUNIO;MARTES;20/6/2023;1;Hurto;Hurto automotor;NO;NO;MATADEROS;CC-09;-34,662758;-58,510948;1
88600;2023;JULIO;JUEVES;27/7/2023;13;Robo;Robo total;NO;NO;MATADEROS;CC-09;-34,663142;-58,510663;1
88601;2023;OCTUBRE;LUNES;30/10/2023;4;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,66271;-58,509558;1
88602;2023;DICIEMBRE;VIERNES;8/12/2023;9;Robo;Robo total;SI;SI;MATADEROS;CC-09;-34,661873;-58,510501;1
88603;2023;JUNIO;VIERNES;9/6/2023;6;Robo;Robo automotor;SI;NO;MATADEROS;CC-09;-34,663324;-58,50989;1
88604;2023;JUNIO;LUNES;26/6/2023;23;Robo;Robo automotor;SI;NO;MATADEROS;CC-09;-34,66186313;-58,50892212;1
88605;2023;NOVIEMBRE;VIERNES;17/11/2023;7;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,655669;-58,519417;1
88606;2023;ABRIL;LUNES;24/4/2023;12;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,658925;-58,504574;1
88607;2023;JUNIO;LUNES;19/6/2023;19;Robo;Robo automotor;NO;NO;MATADEROS;CC-09;-34,661971;-58,5041;1
88608;2023;JUNIO;DOMINGO;25/6/2023;21;Robo;Robo total;SI;NO;MATADEROS;CC-09;-34,658925;-58,504574;1
88609;2023;DICIEMBRE;VIERNES;15/12/2023;12;Hurto;Hurto total;NO;NO;MATADEROS;CC-09;-34,655774;-58,505614;1
88610;2023;AGOSTO;JUEVES;10/8/2023;23;Robo;Robo total;SI;NO;MATADEROS;CC-09;-34,663014;-58,504528;1
