"id-mapa","anio","mes","dia","fecha","franja","tipo","subtipo","uso_arma","uso_moto","barrio","comuna","latitud","longitud","cantidad"
338728,"2019","ABRIL","VIERNES","2019-04-12",13,"Robo","Robo total","SI","NO","LINIERS",9,"-34.641525","-58.526218",1
338729,"2019","MAYO","SABADO","2019-05-04",11,"Robo","Robo total","NO","NO","LINIERS",9,"-34.641695","-58.527121",1
338730,"2019","JUNIO","VIERNES","2019-06-28",11,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.641457","-58.526315",1
338731,"2019","FEBRERO","VIERNES","2019-02-08",17,"Robo","Robo total","NO","NO","LINIERS",9,"-34.641676","-58.52751",1
338732,"2019","MAYO","VIERNES","2019-05-03",0,"Robo","Robo total","NO","NO","LINIERS",9,"-34.641674","-58.52665",1
338733,"2019","MAYO","VIERNES","2019-05-24",22,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.641673","-58.528283",1
338734,"2019","SEPTIEMBRE","DOMINGO","2019-09-15",20,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.641753","-58.528466",1
338735,"2019","JULIO","JUEVES","2019-07-11",5,"Robo","Robo total","NO","SI","LINIERS",9,"-34.641676","-58.52751",1
338736,"2019","JULIO","VIERNES","2019-07-12",17,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.641761","-58.528654",1
338737,"2019","JULIO","MIERCOLES","2019-07-17",14,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.641376","-58.527575",1
338738,"2019","JULIO","SABADO","2019-07-27",19,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.641318","-58.526232",1
338739,"2019","AGOSTO","VIERNES","2019-08-02",7,"Robo","Robo total","NO","NO","LINIERS",9,"-34.641676","-58.52751",1
338740,"2019","AGOSTO","JUEVES","2019-08-08",15,"Robo","Robo total","SI","NO","LINIERS",9,"-34.641674","-58.52665",1
338741,"2019","AGOSTO","LUNES","2019-08-26",22,"Hurto","Hurto automotor","NO","NO","LINIERS",9,"-34.641738","-58.528951",1
338742,"2019","AGOSTO","LUNES","2019-08-26",0,"Robo","Robo total","NO","NO","LINIERS",9,"-34.641738","-58.528951",1
338743,"2019","SEPTIEMBRE","LUNES","2019-09-30",21,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.641676","-58.52751",1
338744,"2019","OCTUBRE","JUEVES","2019-10-24",15,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.641778","-58.526292",1
338745,"2019","OCTUBRE","SABADO","2019-10-26",15,"Hurto","Hurto automotor","NO","NO","LINIERS",9,"-34.641324","-58.528915",1
338746,"2019","NOVIEMBRE","SABADO","2019-11-16",7,"Robo","Robo total","NO","NO","LINIERS",9,"-34.641636","-58.525812",1
338747,"2019","NOVIEMBRE","JUEVES","2019-11-28",0,"Robo","Robo total","NO","NO","LINIERS",9,"-34.641318","-58.526232",1
338748,"2019","DICIEMBRE","VIERNES","2019-12-06",0,"Robo","Robo total","SI","SI","LINIERS",9,"-34.641517","-58.527476",1
338749,"2019","AGOSTO","VIERNES","2019-08-30",12,"Hurto","Hurto automotor","NO","NO","LINIERS",9,"-34.641786","-58.529846",1
338750,"2019","AGOSTO","SABADO","2019-08-03",7,"Hurto","Hurto automotor","NO","NO","LINIERS",9,"-34.641786","-58.529846",1
338751,"2019","MARZO","SABADO","2019-03-23",20,"Robo","Robo total","NO","NO","LINIERS",9,"-34.641786","-58.529846",1
338752,"2019","MAYO","SABADO","2019-05-04",20,"Robo","Robo total","NO","NO","LINIERS",9,"-34.641786","-58.529846",1
338753,"2019","AGOSTO","SABADO","2019-08-10",14,"Robo","Robo total","NO","NO","LINIERS",9,"-34.641786","-58.529846",1
338754,"2019","DICIEMBRE","SABADO","2019-12-14",14,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.641882","-58.525251",1
338755,"2019","SEPTIEMBRE","MARTES","2019-09-17",12,"Robo","Robo total","NO","NO","LINIERS",9,"-34.640165","-58.525379",1
338756,"2019","AGOSTO","SABADO","2019-08-10",14,"Robo","Robo total","NO","NO","LINIERS",9,"-34.640563","-58.525377",1
338757,"2019","OCTUBRE","SABADO","2019-10-26",10,"Hurto","Hurto automotor","NO","NO","LINIERS",9,"-34.641109","-58.52533",1
338758,"2019","NOVIEMBRE","JUEVES","2019-11-28",0,"Robo","Robo total","SI","NO","LINIERS",9,"-34.640165","-58.525379",1
